Título;Rendimento anual do título;Investimento mínimo;Preço unitário de investimento;Vencimento do Título
Tesouro Selic 2031;SELIC + 0,0996%;R$ 182,65;R$ 18.265,60;01/03/2031
Tesouro Prefixado 2029;12,75%;R$ 7,09;R$ 709,05;01/01/2029
Tesouro Prefixado 2032;13,43%;R$ 4,78;R$ 478,26;01/01/2032
Tesouro Prefixado com Juros Semestrais 2037;13,69%;R$ 8,16;R$ 816,68;01/01/2037
Tesouro IPCA+ 2032;IPCA + 7,59%;R$ 28,63;R$ 2.863,34;15/08/2032
Tesouro IPCA+ com Juros Semestrais 2037;IPCA + 7,51%;R$ 41,70;R$ 4.170,66;15/05/2037
Tesouro IPCA+ 2040;IPCA + 7,29%;R$ 16,65;R$ 1.665,64;15/08/2040
Tesouro IPCA+ com Juros Semestrais 2045;IPCA + 7,27%;R$ 40,95;R$ 4.095,41;15/05/2045
Tesouro IPCA+ 2050;IPCA + 6,98%;R$ 8,88;R$ 888,75;15/08/2050
Tesouro IPCA+ com Juros Semestrais 2060;IPCA + 7,15%;R$ 40,91;R$ 4.091,54;15/08/2060
Tesouro Renda+ Aposentadoria Extra 2030;IPCA + 7,31%;R$ 18,82;R$ 1.882,56;15/12/2049
Tesouro Renda+ Aposentadoria Extra 2035;IPCA + 7,17%;R$ 13,54;R$ 1.354,72;15/12/2054
Tesouro Renda+ Aposentadoria Extra 2040;IPCA + 7,05%;R$ 9,83;R$ 983,67;15/12/2059
Tesouro Renda+ Aposentadoria Extra 2045;IPCA + 6,98%;R$ 7,13;R$ 713,53;15/12/2064
Tesouro Renda+ Aposentadoria Extra 2050;IPCA + 6,94%;R$ 5,16;R$ 516,31;15/12/2069
Tesouro Renda+ Aposentadoria Extra 2055;IPCA + 6,95%;R$ 3,68;R$ 368,63;15/12/2074
Tesouro Renda+ Aposentadoria Extra 2060;IPCA + 6,97%;R$ 2,61;R$ 261,92;15/12/2079
Tesouro Renda+ Aposentadoria Extra 2065;IPCA + 6,97%;R$ 1,87;R$ 187,39;15/12/2084
Tesouro Educa+ 2027;IPCA + 7,67%;R$ 36,06;R$ 3.606,99;15/12/2031
Tesouro Educa+ 2028;IPCA + 7,61%;R$ 33,59;R$ 3.359,33;15/12/2032
Tesouro Educa+ 2029;IPCA + 7,59%;R$ 31,26;R$ 3.126,17;15/12/2033
Tesouro Educa+ 2030;IPCA + 7,57%;R$ 29,09;R$ 2.909,72;15/12/2034
Tesouro Educa+ 2031;IPCA + 7,54%;R$ 27,11;R$ 2.711,21;15/12/2035
Tesouro Educa+ 2032;IPCA + 7,52%;R$ 25,25;R$ 2.525,91;15/12/2036
Tesouro Educa+ 2033;IPCA + 7,50%;R$ 23,54;R$ 2.354,32;15/12/2037
Tesouro Educa+ 2034;IPCA + 7,46%;R$ 21,99;R$ 2.199,74;15/12/2038
Tesouro Educa+ 2035;IPCA + 7,43%;R$ 20,54;R$ 2.054,65;15/12/2039
Tesouro Educa+ 2036;IPCA + 7,39%;R$ 19,21;R$ 1.921,94;15/12/2040
Tesouro Educa+ 2037;IPCA + 7,35%;R$ 17,99;R$ 1.799,07;15/12/2041
Tesouro Educa+ 2038;IPCA + 7,30%;R$ 16,87;R$ 1.687,55;15/12/2042
Tesouro Educa+ 2039;IPCA + 7,26%;R$ 15,82;R$ 1.582,04;15/12/2043
Tesouro Educa+ 2040;IPCA + 7,22%;R$ 14,84;R$ 1.484,34;15/12/2044
Tesouro Educa+ 2041;IPCA + 7,19%;R$ 13,91;R$ 1.391,60;15/12/2045
Tesouro Educa+ 2042;IPCA + 7,15%;R$ 13,07;R$ 1.307,68;15/12/2046
Tesouro Educa+ 2043;IPCA + 7,12%;R$ 12,27;R$ 1.227,63;15/12/2047
Tesouro Educa+ 2044;IPCA + 7,09%;R$ 11,53;R$ 1.153,14;15/12/2048
